Entity,Year,emissions
current ,2068,56
current ,2069,56
current ,2070,56
current ,2071,56
current ,2072,56
current ,2073,55
current ,2074,55
current ,2075,55
current ,2076,55
current ,2077,55
current ,2078,54
current ,2079,54
current ,2080,54
current ,2081,54
current ,2082,53
current ,2083,53
current ,2084,53
current ,2085,52
current ,2086,52
current ,2087,51
current ,2088,51
current ,2089,51
current ,2090,50
current ,2091,50
current ,2092,50
current ,2093,49
current ,2094,49
current ,2095,49
current ,2096,49
current ,2097,48
current ,2098,48
current ,2099,48
current ,2100,48
baseline ,2005,43
baseline ,2006,43
baseline ,2007,43
baseline ,2008,44
baseline ,2009,44
baseline ,2010,44
baseline ,2011,45
baseline ,2012,46
baseline ,2013,47
baseline ,2014,48
baseline ,2015,49
baseline ,2016,50
baseline ,2017,51
baseline ,2018,51
baseline ,2019,52
baseline ,2020,53
baseline ,2021,54
baseline ,2022,55
baseline ,2023,55
baseline ,2024,56
baseline ,2025,57
baseline ,2026,57
baseline ,2027,58
baseline ,2028,58
baseline ,2029,59
baseline ,2030,60
baseline ,2031,60
baseline ,2032,61
baseline ,2033,62
baseline ,2034,62
baseline ,2035,63
baseline ,2036,63
baseline ,2037,64
baseline ,2038,65
baseline ,2039,65
baseline ,2040,66
baseline ,2041,67
baseline ,2042,67
baseline ,2043,68
baseline ,2044,69
baseline ,2045,70
baseline ,2046,71
baseline ,2047,72
baseline ,2048,72
baseline ,2049,73
baseline ,2050,74
baseline ,2051,75
baseline ,2052,75
baseline ,2053,76
baseline ,2054,77
baseline ,2055,77
baseline ,2056,78
baseline ,2057,79
baseline ,2058,79
baseline ,2059,80
baseline ,2060,81
baseline ,2061,81
baseline ,2062,82
baseline ,2063,82
baseline ,2064,83
baseline ,2065,83
baseline ,2066,83
baseline ,2067,84
baseline ,2068,84
baseline ,2069,85
baseline ,2070,85
baseline ,2071,85
baseline ,2072,86
baseline ,2073,86
baseline ,2074,86
baseline ,2075,87
baseline ,2076,87
baseline ,2077,87
baseline ,2078,87
baseline ,2079,88
baseline ,2080,88
baseline ,2081,88
baseline ,2082,88
baseline ,2083,88
baseline ,2084,88
baseline ,2085,88
baseline ,2086,88
baseline ,2087,88
baseline ,2088,88
baseline ,2089,88
baseline ,2090,88
baseline ,2091,87
baseline ,2092,87
baseline ,2093,86
baseline ,2094,86
baseline ,2095,85
baseline ,2096,85
baseline ,2097,84
baseline ,2098,84
baseline ,2099,83
baseline ,2100,83
